epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
146,528.247,1.05221,0.71925,0.00294,0.54709,0.80167,0.76078,0.64477,0.7033,0.66726,0.00274,0.000845193,0.000845193,0.000845193
147,531.229,0.93585,0.69825,0.00226,0.54709,0.80167,0.76078,0.64477,0.7033,0.66726,0.00274,0.00084336,0.00084336,0.00084336
148,534.165,0.95068,0.82436,0.00261,0.5323,0.781,0.68777,0.57895,0.75527,0.79721,0.003,0.000841527,0.000841527,0.000841527
149,537.123,0.93537,0.70831,0.00271,0.71158,0.695,0.70256,0.60288,0.67806,0.72784,0.0026,0.000839694,0.000839694,0.000839694
150,540.034,0.85625,0.65325,0.00227,0.71158,0.695,0.70256,0.60288,0.67806,0.72784,0.0026,0.000837861,0.000837861,0.000837861
151,542.964,0.8362,0.70842,0.00212,0.53049,0.80167,0.78476,0.68171,0.64291,0.65529,0.00238,0.000836027,0.000836027,0.000836027
152,545.858,0.93657,0.68497,0.00236,0.53049,0.80167,0.78476,0.68171,0.64291,0.65529,0.00238,0.000834194,0.000834194,0.000834194
153,548.799,1.0495,0.76727,0.00269,0.72633,0.75879,0.78407,0.65818,0.70877,0.68202,0.00266,0.000832361,0.000832361,0.000832361
154,551.676,1.00209,0.71062,0.0026,0.72633,0.75879,0.78407,0.65818,0.70877,0.68202,0.00266,0.000830528,0.000830528,0.000830528
155,554.704,0.97218,0.7476,0.00283,0.728,0.76679,0.78619,0.68196,0.65245,0.66745,0.00245,0.000828695,0.000828695,0.000828695
156,557.596,0.86928,0.70874,0.00227,0.70288,0.69553,0.73785,0.63871,0.63147,0.71723,0.00235,0.000826862,0.000826862,0.000826862
157,560.546,0.90535,0.74582,0.00237,0.70288,0.69553,0.73785,0.63871,0.63147,0.71723,0.00235,0.000825029,0.000825029,0.000825029
158,563.443,0.81995,0.61654,0.00218,0.67156,0.80167,0.79416,0.70059,0.60845,0.61256,0.00227,0.000823195,0.000823195,0.000823195
159,566.434,0.83928,0.67078,0.00225,0.67156,0.80167,0.79416,0.70059,0.60845,0.61256,0.00227,0.000821362,0.000821362,0.000821362
160,569.568,0.85911,0.70696,0.00237,0.61143,0.87344,0.79583,0.69734,0.61779,0.59504,0.00234,0.000819529,0.000819529,0.000819529
161,572.459,0.7968,0.68434,0.00228,0.61755,0.79007,0.78836,0.6972,0.61674,0.56835,0.0023,0.000817696,0.000817696,0.000817696
162,575.643,0.85182,0.66769,0.00255,0.61755,0.79007,0.78836,0.6972,0.61674,0.56835,0.0023,0.000815863,0.000815863,0.000815863
163,579.17,0.88118,0.71934,0.00231,0.56516,0.79234,0.76372,0.67144,0.59966,0.63912,0.00224,0.00081403,0.00081403,0.00081403
164,582.724,0.87884,0.70012,0.00192,0.56516,0.79234,0.76372,0.67144,0.59966,0.63912,0.00224,0.000812197,0.000812197,0.000812197
165,586.215,0.82309,0.66604,0.00197,0.58726,0.75859,0.76894,0.68149,0.59093,0.62054,0.00224,0.000810363,0.000810363,0.000810363
166,589.586,0.76941,0.64586,0.00198,0.69322,0.82099,0.82097,0.70801,0.6533,0.57243,0.00242,0.00080853,0.00080853,0.00080853
167,593.076,0.78183,0.64472,0.00201,0.69322,0.82099,0.82097,0.70801,0.6533,0.57243,0.00242,0.000806697,0.000806697,0.000806697
168,596.63,0.83072,0.62555,0.00218,0.69267,0.87263,0.79153,0.64715,0.81599,0.59894,0.003,0.000804864,0.000804864,0.000804864
169,600.151,1.01626,0.69725,0.00285,0.69267,0.87263,0.79153,0.64715,0.81599,0.59894,0.003,0.000803031,0.000803031,0.000803031
170,603.904,0.87376,0.6058,0.00231,0.68311,0.77735,0.77855,0.66264,0.71654,0.60945,0.00268,0.000801198,0.000801198,0.000801198
171,607.458,0.89369,0.65917,0.00228,0.59456,0.72502,0.76185,0.66946,0.63005,0.63671,0.00237,0.000799365,0.000799365,0.000799365
172,611.079,0.87903,0.63054,0.0022,0.59456,0.72502,0.76185,0.66946,0.63005,0.63671,0.00237,0.000797531,0.000797531,0.000797531
173,614.672,0.94926,0.66767,0.00262,0.60442,0.77646,0.76794,0.66652,0.64575,0.64718,0.00248,0.000795698,0.000795698,0.000795698
174,618.434,0.81713,0.57154,0.00196,0.60442,0.77646,0.76794,0.66652,0.64575,0.64718,0.00248,0.000793865,0.000793865,0.000793865
175,622.011,0.86683,0.64234,0.00212,0.59928,0.80187,0.78064,0.67782,0.66493,0.6362,0.00248,0.000792032,0.000792032,0.000792032
176,625.623,0.97988,0.68747,0.00242,0.63623,0.77667,0.76266,0.66845,0.64429,0.63915,0.00238,0.000790199,0.000790199,0.000790199
177,629.126,0.84415,0.70824,0.00225,0.63623,0.77667,0.76266,0.66845,0.64429,0.63915,0.00238,0.000788366,0.000788366,0.000788366
178,632.582,0.81761,0.56088,0.00216,0.69661,0.8283,0.78663,0.69192,0.60034,0.57616,0.00225,0.000786532,0.000786532,0.000786532
179,636.125,0.81775,0.61002,0.00223,0.69661,0.8283,0.78663,0.69192,0.60034,0.57616,0.00225,0.000784699,0.000784699,0.000784699
180,639.795,0.87902,0.59213,0.00216,0.66233,0.81934,0.78437,0.69541,0.58657,0.59881,0.00218,0.000782866,0.000782866,0.000782866
181,643.402,0.77108,0.66378,0.00199,0.64458,0.8732,0.75451,0.64777,0.67589,0.63326,0.00244,0.000781033,0.000781033,0.000781033
182,646.834,0.77852,0.56633,0.00198,0.64458,0.8732,0.75451,0.64777,0.67589,0.63326,0.00244,0.0007792,0.0007792,0.0007792
183,650.396,0.85656,0.64228,0.00212,0.6911,0.73614,0.73997,0.63743,0.67753,0.60861,0.00247,0.000777367,0.000777367,0.000777367
