epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
129,428.045,0.89719,0.71509,0.00313,0.57235,0.83178,0.78774,0.6633,0.67282,0.57532,0.00303,0.0007888,0.0007888,0.0007888
130,431.452,0.91169,0.67171,0.00287,0.57235,0.83178,0.78774,0.6633,0.67282,0.57532,0.00303,0.00078715,0.00078715,0.00078715
131,434.926,0.85539,0.70722,0.00279,0.58392,0.87065,0.78752,0.66473,0.64077,0.52979,0.00285,0.0007855,0.0007855,0.0007855
132,438.393,0.92452,0.70404,0.0032,0.58392,0.87065,0.78752,0.66473,0.64077,0.52979,0.00285,0.00078385,0.00078385,0.00078385
133,442.005,0.96563,0.7555,0.00323,0.64233,0.88443,0.76918,0.62714,0.72415,0.54174,0.00345,0.0007822,0.0007822,0.0007822
134,445.358,0.94752,0.68599,0.003,0.72833,0.7786,0.77789,0.6446,0.69669,0.53421,0.00328,0.00078055,0.00078055,0.00078055
135,448.547,0.98642,0.76436,0.00354,0.72833,0.7786,0.77789,0.6446,0.69669,0.53421,0.00328,0.0007789,0.0007789,0.0007789
136,451.728,0.89394,0.68805,0.00269,0.69873,0.82985,0.79743,0.66547,0.70488,0.55288,0.00314,0.00077725,0.00077725,0.00077725
137,455.172,0.86757,0.66508,0.00293,0.69873,0.82985,0.79743,0.66547,0.70488,0.55288,0.00314,0.0007756,0.0007756,0.0007756
138,458.756,0.82198,0.61755,0.00247,0.61609,0.8738,0.79939,0.67517,0.65292,0.53653,0.00304,0.00077395,0.00077395,0.00077395
139,462.467,0.76623,0.61132,0.00248,0.58991,0.85833,0.80551,0.68409,0.60259,0.52124,0.00277,0.0007723,0.0007723,0.0007723
140,465.88,0.81299,0.66727,0.00287,0.58991,0.85833,0.80551,0.68409,0.60259,0.52124,0.00277,0.00077065,0.00077065,0.00077065
141,469.258,0.80339,0.63099,0.0029,0.58461,0.87518,0.8102,0.68871,0.5988,0.51642,0.00286,0.000769,0.000769,0.000769
142,472.632,0.80605,0.64735,0.00248,0.58461,0.87518,0.8102,0.68871,0.5988,0.51642,0.00286,0.00076735,0.00076735,0.00076735
143,475.988,0.89581,0.6653,0.00305,0.60403,0.88472,0.81221,0.68983,0.65638,0.51953,0.00316,0.0007657,0.0007657,0.0007657
144,479.183,0.99372,0.69697,0.00317,0.58924,0.88633,0.81534,0.70725,0.59649,0.50092,0.00273,0.00076405,0.00076405,0.00076405
145,482.371,0.79088,0.59351,0.00244,0.58924,0.88633,0.81534,0.70725,0.59649,0.50092,0.00273,0.0007624,0.0007624,0.0007624
146,485.865,0.98783,0.70805,0.00339,0.71588,0.72329,0.80211,0.6713,0.67961,0.54257,0.00327,0.00076075,0.00076075,0.00076075
147,489.249,0.9186,0.61314,0.00287,0.71588,0.72329,0.80211,0.6713,0.67961,0.54257,0.00327,0.0007591,0.0007591,0.0007591
148,493.164,0.92379,0.72966,0.00311,0.66673,0.81168,0.76346,0.65036,0.60162,0.54249,0.00277,0.00075745,0.00075745,0.00075745
149,496.636,0.94205,0.6565,0.00333,0.73839,0.71834,0.79995,0.67127,0.75123,0.56191,0.00352,0.0007558,0.0007558,0.0007558
150,500.525,0.95071,0.71371,0.00318,0.73839,0.71834,0.79995,0.67127,0.75123,0.56191,0.00352,0.00075415,0.00075415,0.00075415
151,503.748,0.88134,0.60151,0.00276,0.71879,0.73991,0.82395,0.68706,0.80341,0.57359,0.0037,0.0007525,0.0007525,0.0007525
152,507.594,0.93163,0.6563,0.003,0.71879,0.73991,0.82395,0.68706,0.80341,0.57359,0.0037,0.00075085,0.00075085,0.00075085
153,511.397,0.92629,0.69655,0.00311,0.70481,0.82826,0.80507,0.69468,0.6389,0.51431,0.00307,0.0007492,0.0007492,0.0007492
154,514.517,0.9133,0.66092,0.00321,0.70481,0.82826,0.80507,0.69468,0.6389,0.51431,0.00307,0.00074755,0.00074755,0.00074755
